 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 15   # Spanwise =100     First strip =  1
     Surface area =  264.948608       Ave. chord =    5.145000
     CLsurf  =   0.21882     Clsurf  =  -0.04550
     CYsurf  =  -0.00739     Cmsurf  =  -1.31241
     CDsurf  =   0.00244     Cnsurf  =   0.00256
     CDisurf =   0.00244     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.43770     CDsurf  =   0.00487
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   107  -3.3452   7.0633   3.6374   3.1384   0.0229   0.4443   0.4443   0.0079   0.0000  -0.1300   0.2411    0.543
   108  -3.8599   7.0192   3.6147   3.1355   0.0235   0.4467   0.4467   0.0085   0.0000  -0.1301   0.2417    0.541
   109  -4.3745   6.9752   3.5919   3.1282   0.0241   0.4485   0.4485   0.0078   0.0000  -0.1301   0.2422    0.540
   110  -4.8892   6.9310   3.5692   3.1233   0.0246   0.4506   0.4506   0.0081   0.0000  -0.1301   0.2427    0.539
   111  -5.4038   6.8870   3.5465   3.1156   0.0251   0.4524   0.4524   0.0075   0.0000  -0.1302   0.2433    0.538
   112  -5.9185   6.8428   3.5238   3.1037   0.0254   0.4535   0.4535   0.0075   0.0000  -0.1302   0.2435    0.537
   113  -6.4331   6.7987   3.5011   3.0932   0.0258   0.4550   0.4550   0.0068   0.0000  -0.1303   0.2439    0.536
   114  -6.9478   6.7547   3.4784   3.0795   0.0260   0.4559   0.4559   0.0071   0.0000  -0.1303   0.2442    0.536
   115  -7.4624   6.7105   3.4557   3.0646   0.0261   0.4567   0.4567   0.0073   0.0000  -0.1303   0.2444    0.535
   116  -7.9771   6.6665   3.4330   3.0470   0.0262   0.4570   0.4570   0.0071   0.0000  -0.1303   0.2445    0.535
   117  -8.4917   6.6223   3.4103   3.0316   0.0262   0.4578   0.4578   0.0067   0.0000  -0.1304   0.2448    0.535
   118  -9.0064   6.5782   3.3876   3.0118   0.0261   0.4578   0.4578   0.0073   0.0000  -0.1304   0.2448    0.535
   119  -9.5210   6.5342   3.3648   2.9853   0.0259   0.4569   0.4569   0.0065   0.0000  -0.1303   0.2444    0.535
   120 -10.0357   6.4900   3.3421   2.9650   0.0257   0.4568   0.4568   0.0068   0.0000  -0.1303   0.2445    0.535
   121 -10.5503   6.4460   3.3194   2.9413   0.0253   0.4563   0.4563   0.0068   0.0000  -0.1303   0.2444    0.536
   122 -11.0650   6.4018   3.2967   2.9125   0.0247   0.4549   0.4549   0.0067   0.0000  -0.1302   0.2439    0.536
   123 -11.5796   6.3577   3.2740   2.8831   0.0239   0.4535   0.4535   0.0069   0.0000  -0.1302   0.2436    0.537
   124 -12.0943   6.3137   3.2513   2.8515   0.0228   0.4516   0.4516   0.0067   0.0000  -0.1303   0.2432    0.539
   125 -12.6089   6.2695   3.2286   2.8171   0.0213   0.4493   0.4493   0.0070   0.0000  -0.1305   0.2427    0.540
   126 -13.1236   6.2255   3.2059   2.7828   0.0192   0.4470   0.4470   0.0072   0.0000  -0.1310   0.2427    0.543
   127 -13.6382   6.1814   3.1832   2.7446   0.0165   0.4440   0.4440   0.0075   0.0000  -0.1317   0.2427    0.547
   128 -14.1529   6.1372   3.1605   2.6995   0.0133   0.4398   0.4398   0.0081   0.0000  -0.1328   0.2428    0.552
   129 -14.6675   6.0932   3.1377   2.6589   0.0098   0.4364   0.4364   0.0087   0.0000  -0.1345   0.2436    0.558
   130 -15.1822   6.0490   3.1150   2.6212   0.0071   0.4333   0.4333   0.0090   0.0000  -0.1358   0.2441    0.563
   131 -15.6968   6.0050   3.0923   2.5955   0.0058   0.4322   0.4322   0.0088   0.0000  -0.1357   0.2437    0.564
   132 -16.2115   5.9608   3.0696   2.5821   0.0066   0.4331   0.4331   0.0084   0.0000  -0.1339   0.2421    0.559
   133 -16.7261   5.9167   3.0469   2.5764   0.0089   0.4354   0.4354   0.0078   0.0000  -0.1315   0.2403    0.552
   134 -17.2408   5.8727   3.0242   2.5751   0.0118   0.4385   0.4385   0.0067   0.0000  -0.1296   0.2391    0.546
   135 -17.7554   5.8285   3.0015   2.5748   0.0144   0.4417   0.4417   0.0060   0.0000  -0.1283   0.2387    0.540
   136 -18.2701   5.7845   2.9788   2.5762   0.0163   0.4453   0.4453   0.0056   0.0000  -0.1276   0.2388    0.536
   137 -18.7847   5.7403   2.9561   2.5735   0.0176   0.4483   0.4483   0.0053   0.0000  -0.1270   0.2391    0.533
   138 -19.2994   5.6962   2.9334   2.5697   0.0183   0.4511   0.4511   0.0048   0.0000  -0.1267   0.2395    0.531
   139 -19.8140   5.6522   2.9106   2.5674   0.0185   0.4542   0.4542   0.0043   0.0000  -0.1266   0.2401    0.529
   140 -20.3287   5.6080   2.8879   2.5619   0.0184   0.4568   0.4568   0.0040   0.0000  -0.1264   0.2406    0.527
   141 -20.8433   5.5640   2.8652   2.5557   0.0180   0.4593   0.4593   0.0037   0.0000  -0.1263   0.2411    0.525
   142 -21.3580   5.5198   2.8425   2.5491   0.0175   0.4618   0.4618   0.0032   0.0000  -0.1263   0.2417    0.523
   143 -21.8726   5.4757   2.8198   2.5412   0.0169   0.4641   0.4641   0.0034   0.0000  -0.1262   0.2422    0.522
   144 -22.3873   5.4317   2.7971   2.5331   0.0162   0.4664   0.4664   0.0030   0.0000  -0.1262   0.2427    0.521
